Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N8F2,C143O94N11H237,[M+H3],3
H9N8F3,C149O98N11H247,[M+H1],1
H9N8F3,C149O98N11H247,[M+H2],2
H9N8F3,C149O98N11H247,[M+H3],3
H9N8F4,C155O102N11H257,[M+H1],1
H9N8F4,C155O102N11H257,[M+H2],2
H9N8F4,C155O102N11H257,[M+H3],3
H9N8S1,C142O94N12H234,[M+H1],1
H9N8S1,C142O94N12H234,[M+H2],2
H9N8S1,C142O94N12H234,[M+H3],3
H9N8S1F1,C148O98N12H244,[M+H1],1
H9N8S1F1,C148O98N12H244,[M+H2],2
H9N8S1F1,C148O98N12H244,[M+H3],3
H9N8S1F2,C154O102N12H254,[M+H1],1
H9N8S1F2,C154O102N12H254,[M+H2],2
H9N8S1F2,C154O102N12H254,[M+H3],3
H9N8S1F3,C160O106N12H264,[M+H1],1
H9N8S1F3,C160O106N12H264,[M+H2],2
H9N8S1F3,C160O106N12H264,[M+H3],3
H9N8S1F4,C166O110N12H274,[M+H1],1
H9N8S1F4,C166O110N12H274,[M+H2],2
H9N8S1F4,C166O110N12H274,[M+H3],3
H9N8S2,C153O102N13H251,[M+H1],1
H9N8S2,C153O102N13H251,[M+H2],2
H9N8S2,C153O102N13H251,[M+H3],3
H9N8S2F1,C159O106N13H261,[M+H1],1
H9N8S2F1,C159O106N13H261,[M+H2],2
H9N8S2F1,C159O106N13H261,[M+H3],3
H9N8S2F2,C165O110N13H271,[M+H1],1
H9N8S2F2,C165O110N13H271,[M+H2],2
H9N8S2F2,C165O110N13H271,[M+H3],3
H9N8S2F3,C171O114N13H281,[M+H1],1
H9N8S2F3,C171O114N13H281,[M+H2],2
H9N8S2F3,C171O114N13H281,[M+H3],3
H9N8S3,C164O110N14H268,[M+H1],1
H9N8S3,C164O110N14H268,[M+H2],2
H9N8S3,C164O110N14H268,[M+H3],3
H9N8S3F1,C170O114N14H278,[M+H1],1
H9N8S3F1,C170O114N14H278,[M+H2],2
H9N8S3F1,C170O114N14H278,[M+H3],3
H9N8S3F2,C176O118N14H288,[M+H1],1
H9N8S3F2,C176O118N14H288,[M+H2],2
H9N8S3F2,C176O118N14H288,[M+H3],3
H9N8S4,C175O118N15H285,[M+H1],1
H9N8S4,C175O118N15H285,[M+H2],2
H9N8S4,C175O118N15H285,[M+H3],3
H9N8S4F1,C181O122N15H295,[M+H1],1
H9N8S4F1,C181O122N15H295,[M+H2],2
H9N8S4F1,C181O122N15H295,[M+H3],3
H9N9,C139O91N12H230,[M+H1],1
H9N9,C139O91N12H230,[M+H2],2
H9N9,C139O91N12H230,[M+H3],3
H9N9F1,C145O95N12H240,[M+H1],1
H9N9F1,C145O95N12H240,[M+H2],2
H9N9F1,C145O95N12H240,[M+H3],3
H9N9F2,C151O99N12H250,[M+H1],1
H9N9F2,C151O99N12H250,[M+H2],2
H9N9F2,C151O99N12H250,[M+H3],3
H9N9F3,C157O103N12H260,[M+H1],1
H9N9F3,C157O103N12H260,[M+H2],2
H9N9F3,C157O103N12H260,[M+H3],3
H9N9F4,C163O107N12H270,[M+H1],1
H9N9F4,C163O107N12H270,[M+H2],2
H9N9F4,C163O107N12H270,[M+H3],3
H9N9S1,C150O99N13H247,[M+H1],1
H9N9S1,C150O99N13H247,[M+H2],2
H9N9S1,C150O99N13H247,[M+H3],3
H9N9S1F1,C156O103N13H257,[M+H1],1
H9N9S1F1,C156O103N13H257,[M+H2],2
H9N9S1F1,C156O103N13H257,[M+H3],3
H9N9S1F2,C162O107N13H267,[M+H1],1
H9N9S1F2,C162O107N13H267,[M+H2],2
H9N9S1F2,C162O107N13H267,[M+H3],3
